# ut, nt, rtc_temp, A0, voltage
1455065373,2016-02-10 00:49:33,21.00,347,515
1455065381,2016-02-10 00:49:41,21.00,364,517
1455065390,2016-02-10 00:49:50,21.00,359,516
1455065398,2016-02-10 00:49:58,21.00,341,515
1455065406,2016-02-10 00:50:06,21.00,366,515
1455065414,2016-02-10 00:50:14,21.00,363,516
1455065422,2016-02-10 00:50:22,21.00,350,515
1455065430,2016-02-10 00:50:30,21.00,365,515
1455065438,2016-02-10 00:50:38,21.00,361,517
1455065446,2016-02-10 00:50:46,21.00,347,515
1455065454,2016-02-10 00:50:54,20.75,343,515
1455065462,2016-02-10 00:51:02,20.75,353,515
1455065470,2016-02-10 00:51:10,20.75,365,516
1455065478,2016-02-10 00:51:18,20.75,360,515
1455065486,2016-02-10 00:51:26,20.75,358,515
1455065494,2016-02-10 00:51:34,20.75,345,515
1455065503,2016-02-10 00:51:43,20.75,341,515
1455065511,2016-02-10 00:51:51,20.75,361,515
1455065519,2016-02-10 00:51:59,20.75,350,516
1455065527,2016-02-10 00:52:07,20.75,363,516
1455065535,2016-02-10 00:52:15,20.75,355,515
1455065543,2016-02-10 00:52:23,20.75,342,515
1455065551,2016-02-10 00:52:31,20.75,367,516
1455065559,2016-02-10 00:52:39,20.75,362,515
1455065567,2016-02-10 00:52:47,20.75,348,515
1455065575,2016-02-10 00:52:55,20.75,343,516
1455065583,2016-02-10 00:53:03,20.75,364,516
1455065591,2016-02-10 00:53:11,20.75,358,515
1455065599,2016-02-10 00:53:19,20.75,348,515
1455065607,2016-02-10 00:53:27,20.75,362,515
1455065616,2016-02-10 00:53:36,20.75,360,516
1455065624,2016-02-10 00:53:44,20.75,346,516
1455065632,2016-02-10 00:53:52,20.75,343,517
1455065640,2016-02-10 00:54:00,20.75,363,516
1455065648,2016-02-10 00:54:08,20.75,358,515
1455065656,2016-02-10 00:54:16,20.75,340,515
1455065664,2016-02-10 00:54:24,20.75,354,516
1455065672,2016-02-10 00:54:32,20.75,361,515
1455065680,2016-02-10 00:54:40,20.75,340,515
1455065688,2016-02-10 00:54:48,20.75,359,515
1455065696,2016-02-10 00:54:56,20.75,345,515
1455065704,2016-02-10 00:55:04,20.75,361,515
1455065712,2016-02-10 00:55:12,20.75,340,515
1455065720,2016-02-10 00:55:20,20.75,361,515
1455065729,2016-02-10 00:55:29,20.75,357,515
1455065737,2016-02-10 00:55:37,20.75,340,516
1455065745,2016-02-10 00:55:45,20.75,365,515
1455065753,2016-02-10 00:55:53,20.75,358,516
1455065761,2016-02-10 00:56:01,20.75,439,516
1455065769,2016-02-10 00:56:09,20.75,307,515
1455065777,2016-02-10 00:56:17,20.75,335,515
1455065785,2016-02-10 00:56:25,20.75,322,515
1455065793,2016-02-10 00:56:33,20.75,344,517
1455065801,2016-02-10 00:56:41,20.75,326,515
1455065809,2016-02-10 00:56:49,20.75,343,515
1455065817,2016-02-10 00:56:57,20.75,352,516
1455065825,2016-02-10 00:57:05,20.75,341,515
1455065833,2016-02-10 00:57:13,20.75,332,515
1455065842,2016-02-10 00:57:22,20.75,336,516
1455065850,2016-02-10 00:57:30,20.75,343,515
1455065858,2016-02-10 00:57:38,20.75,358,515
1455065866,2016-02-10 00:57:46,20.75,354,515
1455065874,2016-02-10 00:57:54,20.75,335,515
1455065882,2016-02-10 00:58:02,20.75,339,516
1455065890,2016-02-10 00:58:10,20.75,349,515
1455065898,2016-02-10 00:58:18,20.75,356,516
1455065906,2016-02-10 00:58:26,20.75,343,515
1455065914,2016-02-10 00:58:34,20.75,338,516
1455065922,2016-02-10 00:58:42,20.75,357,516
1455065930,2016-02-10 00:58:50,20.75,340,515
1455065938,2016-02-10 00:58:58,20.75,347,516
1455065947,2016-02-10 00:59:07,20.75,356,516
1455065955,2016-02-10 00:59:15,20.75,354,517
1455065963,2016-02-10 00:59:23,20.75,336,515
1455065971,2016-02-10 00:59:31,20.75,351,515
1455065979,2016-02-10 00:59:39,20.75,358,515
